entry_utc,exit_utc,closest_approach_utc,duration_hours,min_distance_from_earth_center_km,min_distance_earth_radii
2060-08-02 23:21:06,2060-08-03 17:38:14,2060-08-03 08:30:25,18.29,3591,0.564
2060-08-30 04:06:07,2060-08-31 00:56:21,2060-08-30 14:34:29,20.84,1971,0.309
2060-09-26 13:27:48,2060-09-27 10:53:27,2060-09-27 00:13:07,21.43,1010,0.158
2060-10-10 02:22:02,2060-10-10 20:11:02,2060-10-10 11:16:17,17.82,1608,0.252
2060-10-24 06:43:38,2060-10-24 19:04:50,2060-10-24 12:53:59,12.35,5225,0.820
2063-03-13 10:44:24,2063-03-13 14:51:29,2063-03-13 12:48:12,4.12,6229,0.978
2063-04-09 17:06:15,2063-04-10 14:11:59,2063-04-10 03:41:07,21.10,2036,0.320
2063-05-06 20:21:12,2063-05-07 14:07:27,2063-05-07 05:15:34,17.77,4522,0.710
2063-08-10 02:07:25,2063-08-10 22:01:25,2063-08-10 12:05:40,19.90,2481,0.389
2063-08-23 18:35:21,2063-08-24 12:04:40,2063-08-24 03:20:15,17.49,1828,0.287
2063-09-06 15:29:31,2063-09-07 11:45:44,2063-09-07 01:35:52,20.27,2220,0.349
2063-09-20 21:11:06,2063-09-21 05:27:52,2063-09-21 01:19:59,8.28,5739,0.901
2063-10-04 11:09:07,2063-10-04 16:07:19,2063-10-04 13:37:58,4.97,6204,0.974
2063-12-10 22:14:24,2063-12-11 17:44:27,2063-12-11 07:58:11,19.50,4103,0.644
2064-01-06 23:22:49,2064-01-07 20:30:31,2064-01-07 09:54:10,21.13,1986,0.312
2066-06-22 20:22:15,2066-06-23 03:25:36,2066-06-22 23:54:11,7.06,6023,0.945
2066-07-06 11:28:45,2066-07-07 05:22:19,2066-07-06 20:26:02,17.89,1544,0.242
2066-07-20 02:42:23,2066-07-20 23:57:34,2066-07-20 13:17:13,21.25,1405,0.221
2066-08-03 07:49:47,2066-08-03 21:54:00,2066-08-03 14:52:39,14.07,4566,0.717
2066-08-16 13:10:09,2066-08-17 10:16:17,2066-08-16 23:38:58,21.10,1826,0.287
2066-09-12 20:43:52,2066-09-13 15:23:09,2066-09-13 06:01:15,18.65,3424,0.537
2066-09-26 05:38:11,2066-09-27 05:48:08,2066-09-26 17:43:40,24.17,2122,0.333
2066-10-10 01:20:27,2066-10-10 18:23:41,2066-10-10 09:52:49,17.05,4080,0.640
2066-10-23 02:26:28,2066-10-23 22:45:27,2066-10-23 12:34:27,20.32,3449,0.541
2066-11-06 07:07:24,2066-11-06 21:43:48,2066-11-06 14:27:21,14.61,4823,0.757
2066-11-19 09:00:27,2066-11-20 04:12:28,2066-11-19 18:35:13,19.20,2359,0.370
2066-12-17 08:20:01,2066-12-17 21:10:17,2066-12-17 14:44:54,12.84,4606,0.723
2069-05-19 03:18:56,2069-05-19 21:58:53,2069-05-19 12:39:25,18.67,1686,0.265
2069-06-01 19:59:26,2069-06-02 03:12:00,2069-06-01 23:35:13,7.21,6033,0.947
2069-06-15 15:32:39,2069-06-16 12:11:37,2069-06-16 01:54:08,20.65,2144,0.337
2069-06-28 22:41:25,2069-06-29 15:44:48,2069-06-29 07:10:51,17.06,4144,0.650
2069-07-12 14:12:59,2069-07-13 15:03:09,2069-07-13 02:40:19,24.84,28,0.004
2069-07-26 02:15:54,2069-07-26 21:29:50,2069-07-26 11:52:22,19.23,3206,0.503
2069-08-08 18:28:09,2069-08-08 22:40:37,2069-08-08 20:34:08,4.21,6283,0.986
2069-08-22 06:09:04,2069-08-23 02:55:34,2069-08-22 16:34:34,20.77,2126,0.334
2069-09-18 13:06:37,2069-09-19 10:57:27,2069-09-19 00:05:32,21.85,4,0.001
2069-10-01 23:35:21,2069-10-02 12:05:33,2069-10-02 05:50:12,12.50,4859,0.763
2069-10-16 02:14:19,2069-10-16 20:14:47,2069-10-16 11:15:18,18.01,3543,0.556
2069-10-29 20:21:49,2069-10-30 12:18:33,2069-10-30 04:20:41,15.95,3021,0.474
2072-03-31 17:48:59,2072-04-01 12:03:42,2072-04-01 02:57:21,18.25,2963,0.465
2072-04-27 23:48:54,2072-04-28 22:39:31,2072-04-28 11:16:43,22.84,1727,0.271
2072-08-01 02:25:52,2072-08-01 19:17:49,2072-08-01 10:53:51,16.87,4009,0.629
2072-08-14 16:00:19,2072-08-15 02:16:38,2072-08-14 21:08:14,10.27,5316,0.834
2072-08-28 13:07:14,2072-08-29 10:38:01,2072-08-28 23:52:37,21.51,490,0.077
